return_id,user_id,order_id,return_rate_30d,return_rate_90d,avg_order_value,time_since_signup_days,return_to_purchase_gap_days,category_return_concentration,order_value,refund_amount,is_fraud
ret_277262ec2b,user_3c8c3788ae,order_219f1e2972,0.5,0.5,10297.28,248,26,0.4,534.73,444.86,False
ret_bf802419a5,user_3c8c3788ae,order_1400b50e98,0.5,0.5,10297.28,441,25,0.4,921.63,799.35,False
ret_e2e2af92e3,user_759bb91128,order_4a65378b64,0.2,0.1667,11366.1,35,19,0.5,3313.85,3278.69,False
ret_c9aa8bf93f,user_0103a65138,order_ff82d6a422,0.2727,0.2727,7355.34,24,14,0.8182,1453.09,1265.44,False
ret_cd04340dbc,user_0103a65138,order_a6227acf5a,0.2,0.1667,7355.34,254,30,0.8182,4574.39,3728.48,False
ret_62d1929798,user_0103a65138,order_5d06c81427,0.2727,0.2727,7355.34,21,3,0.8182,1095.4,1079.27,False
ret_d0b2c058a4,user_b761d1efb5,order_62b5f46a9f,0.25,0.25,18889.41,21,9,0.5,805.82,708.44,False
ret_fc9eaac9d4,user_722d2c2bc1,order_c32de5a283,0.5,0.3333,11296.52,248,29,0.4,9682.48,8006.04,False
ret_a5feb5673d,user_66257463e2,order_5d50f18188,1.0,1.0,2203.54,258,24,1.0,2406.09,2137.49,False
ret_d9838a0d66,user_66257463e2,order_880dfe1c0c,1.0,1.0,2203.54,387,3,1.0,2001.0,1979.01,False
ret_59e3e4f817,user_ff346ec168,order_f76bbceb66,0.1818,0.1818,9766.88,37,9,0.5455,4099.49,3426.0,False
ret_b81f00d76b,user_ff346ec168,order_11a3aecfb2,0.1818,0.1818,9766.88,21,14,0.5455,1244.08,995.68,False
ret_0514cdf6bb,user_24445a2eaf,order_23f0034374,0.0833,0.0833,17821.03,45,22,0.4167,2440.84,2261.65,False
ret_d9a089d482,user_d807c88209,order_d3e4cbf45f,0.2,0.2,8018.03,30,14,0.4,4106.37,3556.84,False
ret_0c802b57d6,user_d807c88209,order_4b7e84d47f,0.2,0.2,8018.03,27,12,0.4,3369.48,2896.82,False
ret_46688a8020,user_b4b6fa4857,order_2d15394dd6,0.75,0.3333,7327.32,46,21,0.7778,2012.58,1637.68,False
ret_6e5684edff,user_b4b6fa4857,order_a9a63330d6,0.5,0.3333,7327.32,37,8,0.7778,1242.7,1043.71,False
ret_92e73fc591,user_b4b6fa4857,order_eecc2cde60,1.0,1.0,7327.32,214,16,0.7778,3300.16,3081.99,False
ret_0992fbc29e,user_e3fbf48791,order_a64f954fc3,0.3333,0.25,6335.78,510,29,0.5,2520.29,2243.46,False
ret_19c0804d01,user_50a099207e,order_2d3bf809e2,1.0,1.0,13358.64,268,19,0.5556,4068.2,4049.17,False
ret_b57453ff37,user_50a099207e,order_c5d17a4157,0.3333,0.3333,13358.64,29,12,0.5556,3117.0,2605.46,False
ret_f03ab4a90f,user_50a099207e,order_978db7b166,0.3333,0.3333,13358.64,12,2,0.5556,26679.22,26542.06,False
ret_1f96cde2fa,user_4dc55ea42e,order_06ec583eb2,0.1111,0.1111,10136.46,17,15,0.4444,3032.78,2844.37,False
ret_695f1da859,user_40a1156fa7,order_3b4817628a,1.0,1.0,7865.14,186,9,0.5833,1626.66,1406.5,False
ret_99ad314274,user_40a1156fa7,order_48490c0d2d,0.6667,0.25,7865.14,108,17,0.5833,681.04,594.11,False
ret_5a7e8cd73e,user_2bc9f1b3b7,order_6fd89014e2,0.1667,0.1667,3279.08,40,18,1.0,3335.1,2764.56,False
ret_f50a4e43d9,user_6797a78cef,order_8571a500a3,1.0,1.0,2206.3,328,2,0.5,1948.0,1607.59,False
ret_b97bc2f9cd,user_6797a78cef,order_497eba3244,1.0,1.0,2206.3,505,30,0.5,3989.95,3556.58,False
ret_df70c721dd,user_06b2d3f320,order_098176cdf0,1.0,1.0,14968.58,629,28,0.75,54398.6,47680.85,False
ret_ebf992fbea,user_06b2d3f320,order_c963cb7620,1.0,1.0,14968.58,465,1,0.75,3568.1,3495.96,False
ret_4da8097426,user_1406c81330,order_4f39d338b7,0.25,0.2222,4678.36,33,10,0.4444,4844.57,4192.22,False
ret_76dadeb02d,user_1406c81330,order_bdb87f609c,0.2222,0.2222,4678.36,19,18,0.4444,4568.7,4455.82,False
ret_9998e5e981,user_ae6b45ecc9,order_6a71818382,0.2222,0.2222,14525.68,25,2,0.4444,15085.65,14923.51,False
ret_7196361f2f,user_ae6b45ecc9,order_575467a834,0.2222,0.2222,14525.68,19,8,0.4444,25049.87,24485.04,False
ret_615ba9e8f6,user_4a77c5aca5,order_ba37cc1b7e,0.6667,0.6667,2634.61,46,25,0.6667,2525.32,2300.17,False
ret_3ac8012860,user_4a77c5aca5,order_59d95d9a1c,1.0,0.6667,2634.61,54,29,0.6667,2000.79,1839.12,False
ret_9da9adf873,user_02e9953fcc,order_99331fb08a,0.5,0.25,3033.1,58,26,1.0,2394.32,2350.62,False
ret_cb36bd243e,user_e18eb02a42,order_11c878f06a,0.5,0.5,1820.62,34,5,1.0,985.83,842.89,False
ret_3a8a3376c5,user_be9cb56f7a,order_7386ab0b11,0.25,0.25,15847.66,186,10,0.5455,4496.41,4137.07,False
ret_f89f1a7adc,user_be9cb56f7a,order_3aa6fb3aeb,0.5,0.25,15847.66,515,9,0.5455,29507.54,26994.09,False
ret_ab142e7aa9,user_be9cb56f7a,order_bb5c1278be,0.3333,0.2727,15847.66,54,30,0.5455,36014.97,33550.33,False
ret_1610c4adda,user_7a42ea9101,order_998a483f98,0.3333,0.3333,2542.99,5,3,0.6667,1829.07,1562.8,False
ret_ff6883e8dd,user_7a42ea9101,order_3049f8b562,0.3333,0.3333,2542.99,30,17,0.6667,2887.17,2375.46,False
ret_a5a8fa428e,user_068f07f9e5,order_2994ad500f,1.0,1.0,24088.86,123,24,0.5,1856.39,1645.0,False
ret_302ea47560,user_91dac075f0,order_5e1f76d18a,0.4,0.4,6329.95,354,17,0.5714,4847.9,4066.33,False
ret_9f56f9e3c9,user_91dac075f0,order_511e22f2ec,0.25,0.4,6329.95,408,4,0.5714,2465.2,2044.36,False
ret_edf7b7703d,user_2594af90e4,order_9dc32a1dc7,0.3333,0.3333,17487.71,18,4,0.5833,3036.81,2922.0,False
ret_6872b2c750,user_2594af90e4,order_37408d7bb5,0.3333,0.3333,17487.71,41,21,0.5833,53158.79,44361.64,False
ret_d95f2c212e,user_2594af90e4,order_fe3f5e571e,0.3333,0.3333,17487.71,23,21,0.5833,2159.32,2007.0,False
