user_id,cluster_size,cluster_density,shared_device_count,shared_address_count,shared_payment_method_count
user_00c68f75e8,1,0.0,0,0,0
user_00d5e04765,1,0.0,0,0,0
user_0103a65138,2,1.0,0,1,0
user_0153095485,2,1.0,0,1,0
user_0174598ce9,1,0.0,0,0,0
user_0180f7c35c,1,0.0,0,0,0
user_01c442a9d0,1,0.0,0,0,0
user_01e9a99e8a,1,0.0,0,0,0
user_01f3b47b32,1,0.0,0,0,0
user_02168f28f2,2,1.0,1,0,0
user_022aa6e601,1,0.0,0,0,0
user_0252fd4ee0,3,0.6667,1,1,0
user_0272561b9d,1,0.0,0,0,0
user_02e9953fcc,3,1.0,2,0,0
user_0301d7bb2d,4,0.6667,1,0,0
user_031c426e57,4,0.5,1,1,0
user_03899709b9,1,0.0,0,0,0
user_03b2298a6d,1,0.0,0,0,0
user_03dcf43270,3,0.6667,1,1,0
user_03ea6c644d,3,0.6667,1,1,0
user_0400bd6d41,1,0.0,0,0,0
user_0411e424fa,1,0.0,0,0,0
user_0413ea122b,1,0.0,0,0,0
user_047f9876dc,5,0.5,1,0,0
user_04cd4f0bc3,1,0.0,0,0,0
user_0503b9ad37,1,0.0,0,0,0
user_0528f2ad90,1,0.0,0,0,0
user_054129f201,1,0.0,0,0,0
user_0597b97573,1,0.0,0,0,0
user_05b2c9dbbb,1,0.0,0,0,0
user_05e433226f,1,0.0,0,0,0
user_062aeeb227,1,0.0,0,0,0
user_064da5edcf,1,0.0,0,0,0
user_068f07f9e5,2,1.0,1,0,0
user_06b2d3f320,1,0.0,0,0,0
user_06bf316ef0,1,0.0,0,0,0
user_06e1e2f656,1,0.0,0,0,0
user_070b7e5a16,1,0.0,0,0,0
user_072e98198f,2,1.0,1,0,0
user_07323627c1,1,0.0,0,0,0
user_077a2949f6,1,0.0,0,0,0
user_07807a1b93,1,0.0,0,0,0
user_07957260f8,1,0.0,0,0,0
user_07a2656eed,1,0.0,0,0,0
user_07ac534dfb,1,0.0,0,0,0
user_07b92bddc1,1,0.0,0,0,0
user_07f7abbbd0,1,0.0,0,0,0
user_0841338163,1,0.0,0,0,0
user_08821ce59c,1,0.0,0,0,0
user_089ba72186,1,0.0,0,0,0
user_08eacab912,1,0.0,0,0,0
user_08f87242cd,1,0.0,0,0,0
user_09ea25fa27,1,0.0,0,0,0
user_0a3a8925fa,1,0.0,0,0,0
user_0a415f43d0,3,0.6667,0,1,0
user_0a87d5919f,6,1.0,5,2,0
user_0aae4a9832,3,0.6667,0,1,0
user_0b47aaefe4,1,0.0,0,0,0
user_0b6c908116,6,0.6667,3,0,2
user_0ba4b276e0,6,0.8667,0,4,0
user_0be08099ad,3,0.6667,1,0,0
user_0bf992dec4,1,0.0,0,0,0
user_0c9af70125,2,1.0,1,0,0
user_0d4d40810c,1,0.0,0,0,0
user_0e4aa863ed,1,0.0,0,0,0
user_0e86a082e0,2,1.0,1,0,0
user_0ebb392a16,1,0.0,0,0,0
user_0f3159daac,1,0.0,0,0,0
user_0f9ad7f20f,1,0.0,0,0,0
user_0fd72f61af,1,0.0,0,0,0
user_0fe85b71f5,1,0.0,0,0,0
user_0ffbdc6f07,1,0.0,0,0,0
user_10368b3463,1,0.0,0,0,0
user_1042548ceb,1,0.0,0,0,0
user_10b16ebc2e,4,1.0,1,3,0
user_1122b3d596,2,1.0,1,0,0
user_1123857b7a,1,0.0,0,0,0
user_1145db825e,2,1.0,0,1,0
user_11469a344d,1,0.0,0,0,0
user_115e7d5de8,1,0.0,0,0,0
user_11673d7a56,1,0.0,0,0,0
user_1195137a98,3,1.0,0,2,0
user_11bf516e79,1,0.0,0,0,0
user_11cef61f96,1,0.0,0,0,0
user_11f48a64ac,1,0.0,0,0,0
user_1263c7dfb8,1,0.0,0,0,0
user_12eb316552,1,0.0,0,0,0
user_1384140c59,2,1.0,0,1,0
user_1406c81330,1,0.0,0,0,0
user_1411361148,1,0.0,0,0,0
user_142d2949db,1,0.0,0,0,0
user_1492f86a72,5,1.0,3,3,0
user_151f7fcb57,2,1.0,1,0,0
user_15226f036d,2,1.0,1,0,0
user_154ee48e67,1,0.0,0,0,0
user_1555c4aa21,2,1.0,0,1,0
user_156f11be10,1,0.0,0,0,0
user_15992295e9,1,0.0,0,0,0
user_168ba2c4c6,1,0.0,0,0,0
user_18070001da,1,0.0,0,0,0
user_185ed6452d,4,1.0,0,3,0
user_19298398a2,1,0.0,0,0,0
user_196d31a530,1,0.0,0,0,0
